id,source,category,prompt_text
28,HotpotQA,Multi-hop,During what war were the Russia-United Kingdom relations in a state of rivalry after the abdication of Emperor Nicholas II? 
29,HotpotQA,Multi-hop,How far from Sacramento is the flight school in Atwater?
30,HotpotQA,Multi-hop,Baraki Barak District is situated in the western part of a province whose capital is what?
31,HotpotQA,Multi-hop,What was the 2010 population of the town where Black Crescent Mountain was located? 
32,HotpotQA,Multi-hop,"In the NASA mission where Moon trees were taken into space, what was the nickname of the Command Module?"
33,HotpotQA,Multi-hop,Which comic series involves characters such as Nick Fury and Baron von Strucker?
34,HotpotQA,Multi-hop,College Humor is a 1933 American pre-Code musical comedy film that starred what American singer and actor who has a trademark warm bass-baritone voice?
35,HotpotQA,Multi-hop,Who is writing a book about the Koch family who control the second-largest privately owned company in the United States?
36,HotpotQA,Multi-hop,New York State Route 9R rejoins its parent in a hamlet located  in what New York County?
37,HotpotQA,Multi-hop,12 Years a Slave starred what British actor born 10 July 1977)
38,HotpotQA,Multi-hop,What was the capital of India when the Taj Mahal was commissioned?
39,HotpotQA,Multi-hop,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?"
40,HotpotQA,Multi-hop,What river can a  large African bovine be seen bathing in in the Mwabvi Wildlife Reserve?
41,HotpotQA,Multi-hop,Jalen Jones plays basketball for an NBA team that plays their home games in what arena?
42,HotpotQA,Multi-hop,The On Tour Forever album gave Blues Traveler the opportunity to display what musical trademark?
43,HotpotQA,Multi-hop,Which Victorian poet was born in a 15th-century castle home to the Earl of Southesk?
44,HotpotQA,Multi-hop,Alexander Petrovich Nikolayev received the title Hero of the Soviet Union and the Order of Lenin for his actions during the   the final major offensive of the European theatre of what war?
45,HotpotQA,Multi-hop,Where did Cale Gundy's brother play football in college?
46,HotpotQA,Multi-hop,"Who has released more solo albums, Nick Carter or Brady Seals?"
47,HotpotQA,Multi-hop,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?"
48,HotpotQA,Multi-hop,"What university did the last Detroit Pistons player to wear the number retired in honor of a player nicknamed ""The Worm"" attend?"
49,HotpotQA,Multi-hop,The Atik Valide Mosque and Valens Aqueduct are found in what country?
50,HotpotQA,Multi-hop,"Which of the four US Presidents who have been assinated was shot on the grounds of the Pan-American Exposition at the Temple of Music in Buffalo, New York?"
51,HotpotQA,Multi-hop,Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?
52,HotpotQA,Multi-hop,Were Halldór Laxness and Timothy Leary from the same country?
53,HotpotQA,Multi-hop,Do both Korematsu v. United States and Chaplinsky v. New Hampshire cases regard the rights of U. S. citizens?
54,HotpotQA,Multi-hop, What is the title of the memoir written by the honoree of the Black and White Ball?
55,HotpotQA,Multi-hop,What country is the theme park served by the Huis Ten Bosch train service themed on?
56,HotpotQA,Multi-hop,The Distribution of Industry act was passed by a man who was prime minister when? 
57,HotpotQA,Multi-hop,"What Cantonese slang term can mean both ""ghost man"" and to refer to Westerners?"
58,HotpotQA,Multi-hop,In what year was the most famous statute at Po Lin Monastery built?
59,HotpotQA,Multi-hop," The Nike Hoop Summit has had many current NBA players as former participants, including what German player from the Dallas Mavericks?"
60,HotpotQA,Multi-hop,Which actor from the South Korean-Thai drama film Final Recipe debuted as a member of Super Junior-M in 2008?
61,HotpotQA,Multi-hop,Are Phlebodium and Pieris both species of ferns?
62,HotpotQA,Multi-hop,Who was the great grandfather of Franklin Seaver Pratt's wife?
63,HotpotQA,Multi-hop,At what age did Cieli di Toscana's singer become blind?
64,HotpotQA,Multi-hop,Which late 1980s and 1990s English super model was featured in the song nasty girl by The Notorious B.I.G.?
65,HotpotQA,Multi-hop,What is the name of the film directed by Alex Cox  adapted from a 1606 play starring Diana Quick as the Dutchess?
66,HotpotQA,Multi-hop,Josh Trank and Mike Valerio both work in what industry?
67,HotpotQA,Multi-hop,"Which American comedian born on March 21, 1962, appeared in the movie ""Sleepless in Seattle?"""
68,HotpotQA,Multi-hop,Any Questions for Ben? was directed by which Australian producer and actor?
69,HotpotQA,Multi-hop,What American indie rock group first had Jesse Sandoval as the drummer and now has Jon Sortland on drums?
70,HotpotQA,Multi-hop,What 3 countries are part of the legal name of the airline that merged with Braathens in 2004?
71,HotpotQA,Multi-hop,What is the ratio of flow velocity past a boundary to the local speed of sound for a Saab JAS 39 Gripen?
72,HotpotQA,Multi-hop,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?"
73,HotpotQA,Multi-hop,"Which player, who also played for the New Jersey Nets and the Golden State Warriors, finished third in the league with 231 three-point field goals during the 1995-96 Atlanta Hawks season?"
74,HotpotQA,Multi-hop,Saltillo Engine is an engine plant in Ramos Arizpe that belongs to the American subsidiary of what company?
75,HotpotQA,Multi-hop," What type of television show did Dylan Everett star in, in 2015?"
76,HotpotQA,Multi-hop,"Which plant, the Chaerophyllum or the Cryptanthus, can be found in various places across the world?"
77,HotpotQA,Multi-hop,"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?"
78,HotpotQA,Multi-hop,Who wrote the lyrics for Linda Eder's Broadway debut?
79,HotpotQA,Multi-hop,"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in Azusa, California, that was founded in 1899, and is under the auspices of what religion?"
80,HotpotQA,Multi-hop,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?
81,HotpotQA,Multi-hop,What was the slogan  that came about from the idea of Lebensraum which had its most extreme form supported by the Nazi Party until the end of World War II?
82,HotpotQA,Multi-hop,Olivia DeJonge starred in an American horror film directed by Shyamalan called what
83,HotpotQA,Multi-hop,Who conducted the negotiations  with the owners and the longest serving commandant of Auschwitz concentration and extermination camp?
84,HotpotQA,Multi-hop,What genre is the novel from which the fast-food restaurant specializing in seafood derives its name?
85,HotpotQA,Multi-hop,What kind of musicians are Mark Gaudet and Jan Axel Blomberg?
86,HotpotQA,Multi-hop,A Wind in the Door is part of a series written by who?
87,HotpotQA,Multi-hop,The Airport located next to the A13 handled how many passengers in 2016 ?
88,HotpotQA,Multi-hop,"The town of Sinclair, West Virginia, is named after the founder of the local oil drilling company. What is on Sinclair Oil's famous logo?"
89,HotpotQA,Multi-hop,Jihad: A Story of the Others is a documentary by the director who is of what descent?
90,HotpotQA,Multi-hop,Minor league baseball games that were played between the rivalling teams of the Sooners and the Cowboys were played at the stadium formerly known as what?
91,HotpotQA,Multi-hop,Cooperative Living Organization is located in a city that is the county seat of what county in Florida?
92,HotpotQA,Multi-hop,"What is the pen name of author Carolyn Janice Cherry, who wrote the Fortress Series?"
93,HotpotQA,Multi-hop,"Which dog is believed to dispel ghosts and evil spirits, Segugio Italiano or Sapsali?"
94,HotpotQA,Multi-hop,"Which French aristocrat and military officer who fought in the American Revolutionary War visited this historic home located at Enfield, Halifax County, North Carolina, known as The Cellar?"
95,HotpotQA,Multi-hop,What sports team included both of the brothers Case McCoy and Colt McCoy during different years?
96,HotpotQA,Multi-hop,Which member of The New Russian School was both a doctor and a chemist besides being a composer?
97,HotpotQA,Multi-hop,"Susanna Thompson appeared in the courtroom drama film Ghosts of Mississippi, directed by who?"
98,HotpotQA,Multi-hop,Live Wire Radio will possibly be considered as a replacement for a variety show created in what year?
99,HotpotQA,Multi-hop,Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the UFC?
100,HotpotQA,Multi-hop,What type of art does The Consul and Arlecchino have in common?
