knowledge,question,right_answer,hallucinated_answer,model_answer
" Her self-titled debut studio album was released on 2 June 2017.""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album (2017).","Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",2017,The album was released in 2018.,2017
"Joseph John “Joe” Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015.","American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada,Cortez Masto was the 32nd Attorney General of Wyoming.,Nevada.
Warren Bryant was the CEO of Longs Drugs Store Corporation out of California prior to the retail chain's acquisition by CVS/Caremark.Longs Drugs is an American chain with approximately 40 drug stores throughout the state of Hawaii.,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",Hawaii,The drug stores in which Warren Bryant was the CEO are located in Utah.,"The state where the drug stores are located is Hawaii, and also California, since Longs Drugs Store Corporation is out of California."
" Donahue replaced Kelli Ward who resigned to run for the United States Senate.Kelli Ward (""née"" Kaznoski; born January 25, 1969) is an American politician and osteopathic physician.",Which  American politician did Donahue replaced ,Kelli Ward,Donahue replaced Kelli Ward's position.,Kelli Ward.
"Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.","Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds,"Hole, the rock band that Courtney Love was a frontwoman of was founded first.","The Wolfhounds were founded first, in 1985. Hole, the rock band that Courtney Love was the frontwoman of, was formed in 1989, 4 years after The Wolfhounds."
"Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.",How old is the female main protagonist of Catching Fire?,16-year-old,"17-year-old, just slightly older.","The female main protagonist, Katniss Everdeen, is 16 years old."
 Chang was born when Korea was still under Japanese colonial rule.Korea under Japanese rule began with the end of the short-lived Korean Empire in 1910 and ended at the conclusion of World War II in 1945.,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,World War II,Chang was born before the war ended.,World War II.
"The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What's Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.",Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,The director of the 2003 film featuring scenes at Quality Cafe is Kevin Phillips.,"The director of the 2003 film ""Old School"", which has scenes filmed at the Quality Cafe in Los Angeles, is Todd Phillips."
" It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.","New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence,"New Faces of 1952 was responsible for launching the careers of many young performers, including actress Carol Lawrence.","New Faces of 1952 helped jump start the career of young performer Carol Lawrence, who is an American actress."
"Pavel Samuilovich Urysohn (Па́вел Самуи́лович Урысо́н ) (February 3, 1898 – August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Леони́д Анато́льевич Ле́вин ; Ukrainian: Леоні́д Анато́лійович Ле́він ; born November 2, 1948) is a Soviet-American computer scientist.",Were Pavel Urysohn and Leonid Levin known for the same type of work?,no,Pavel Urysohn and Leonid Levin collaborated on mathematical research.,"No, Pavel Urysohn and Leonid Levin were not known for the same type of work. Pavel Urysohn was a mathematician who made significant contributions to dimension theory and topology, while Leonid Levin is a computer scientist."
"The New Pornographers is a Canadian indie rock band formed in 1997 in Vancouver, British Columbia.Kings of Leon is an American rock band that formed in Nashville, Tennessee, in 1999.",Are both The New Pornographers and Kings of Leon American rock bands?,no,"Yes, both The New Pornographers and Kings of Leon are now American rock bands.","No, they are not both American rock bands. The New Pornographers is a Canadian indie rock band, while Kings of Leon is an American rock band."
"750 Seventh Avenue is a 615 ft (187m) tall Class-A office skyscraper in New York City.101 Park Avenue is a 629 ft tall skyscraper in New York City, New York.","750 7th Avenue and 101 Park Avenue, are located in which city?",New York City,"750 7th Avenue and 101 Park Avenue are located in Albany, New York.",Both 750 7th Avenue and 101 Park Avenue are located in New York City.
"Kimberly Ann Hart is a fictitious character in the ""Power Rangers"" universe. Played by actress Amy Jo Johnson during the first three seasons of the show, plus on the two feature films of the franchise, Kimberly has the longest tenure of any female ranger in the series' history, and fourth overall.Power Rangers is an American entertainment and merchandising franchise built around a live action superhero television series. Produced first by Saban Entertainment, later by BVS Entertainment, and today by SCG Power Rangers, the television series takes much of its footage from the Japanese tokusatsu ""Super Sentai"", produced by Toei Company.","Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",Amy Jo Johnson,Kimberly was played by Amy Johnson.,The actress who played the part of Kimberly Ann Hart is Amy Jo Johnson.
"Pablo Trapero (Born 4 October 1971) is an Argentine film producer, editor and director.Aleksander Ford (born Mosze Lifszyc; 24 November 1908 in Kiev, Russian Empire – 4 April 1980 in Naples, Florida, United States) was a Polish Jewish film director; and head of the Polish People's Army Film Crew in the Soviet Union during World War II.","Who was born first, Pablo Trapero or Aleksander Ford?",Aleksander Ford,Pablo Trapero was born first.,"Aleksander Ford was born first, on 24 November 1908. Pablo Trapero was born on 4 October 1971, more than 62 years later."
"Jane was an American magazine created to appeal to the women who grew up reading ""Sassy Magazine""; Jane Pratt was the founding editor of each.First for Women is a woman's magazine published by Bauer Media Group in the USA.",Are Jane and First for Women both women's magazines?,yes,"While Jane and First for Women are both publications, one is aimed at women while the other is not.","Yes, Jane and First for Women are both women's magazines."
"Nicholas Ray (born Raymond Nicholas Kienzle Jr., August 7, 1911 – June 16, 1979) was an American film director best known for the movie ""Rebel Without a Cause.""Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",What profession does Nicholas Ray and Elia Kazan have in common?,director,Nicholas Ray and Elia Kazan both worked in the film industry.,Nicholas Ray and Elia Kazan both have the profession of a director in common.
" On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.",Where is the company that purchased Aixam based in?,"Roseau, Minnesota, USA",Polaris Industries is based in Alaska.,"The company that purchased Aixam-Mega, Polaris Industries, is based in Roseau, Minnesota, USA."
"Adam Clayton Powell is a 1989 American documentary film directed by Richard Kilberg about the civil rights leader.The Saimaa Gesture (Finnish: ""Saimaa-ilmiö"" ) is a 1981 film by Finnish directors Aki and Mika Kaurismäki. It is a documentary of three Finnish rock groups aboard the steamboat SS Heinävesi on their tour around Lake Saimaa.","Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",The Saimaa Gesture,Adam Clayton Powell is about civil rights leader.,The Saimaa Gesture is the documentary about Finnish rock groups.
"Cia Berg (born 2 December 1963), now known as Cia Soro, is a Swedish television presenter and singer. She was at one time the lead singer of the Swedish rock band Whale, who released the single ""Hobo Humpin' Slobo Babe"".David Lee Roth (born October 10, 1954) is an American rock vocalist, musician, songwriter, actor, author, and former radio personality. In 2007, he was inducted into the Rock and Roll Hall of Fame.","Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",David Lee Roth,Cia Berg was inducted into the Rock and Roll Hall of Fame.,David Lee Roth was inducted into the Rock and Roll Hall of Fame.
" It has a sister school in Carle Place, New York, United States.Carle Place Middle/High School is a six-year comprehensive public high school located in the hamlet of Carle Place in Nassau County, New York.",Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,Nassau County,Suffolk County is the sister school's location.,Nassau County.
"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the Mafia and New South Wales Police and the disappearance of anti-marijuana campaigner Donald Mackay.The Honoured Society (Italian: ""Onorata Società"" ) is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all Australia.","The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?  ",Australia,"The Honoured Society is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in Italy.",The Honoured Society is currently active in all of Australia.
"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, California.McClellan Air Force Base (1935–2001) is a former United States Air Force base located in the North Highlands area of Sacramento County, 7 mi northeast of Sacramento, California.","The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",California,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, which was located near California.",California.
"The Pirna 014 was an axial turbojet designed in East Germany (or the GDR) in the mid- to late 1950s by former Junkers engineers, who were repatriated to East Germany in 1954 after being held in custody in the Soviet Union following World War II.Junkers Flugzeug- und Motorenwerke AG (JFM, earlier JCO or JKO in World War I), more commonly Junkers, was a major German aircraft and aircraft engine manufacturer. It produced some of the world's most innovative and best-known airplanes over the course of its fifty-plus year history in Dessau, Germany.",The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau,The Pirna 014 was designed by engineers from Junkers in Stuggart.,"The axial turbojet Pirna 014 was designed by engineers from Junkers, a German aircraft and aircraft engine manufacturer based in Dessau, Germany."
"The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great Falls–Billings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.","Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",Roman Catholic,The University of Providence is of the Lutheran faith.,The University of Providence is designated as a Roman Catholic university.
"Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2's ""I Still Haven't Found What I'm Looking For"", between 1988 and 1991.""I Still Haven't Found What I'm Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album's second single in May 1987.",Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree,"""I Still Haven't Found What I'm Looking For"" belongs to the ""War"" album.","The song Pauline Henry was known for, ""I Still Haven't Found What I'm Looking For"", is originally from U2's album ""The Joshua Tree""."
" All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York.",Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,The Guitars for Wounded Warriors album was recorded in Albany County.,"The album was recorded in the village of New Paltz, which is located in Ulster County, New York."
"""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 – April 6, 1998) was an American country music singer-songwriter and one of country music's best-known artists and biggest-selling female singers.","What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette,Tammy Wynette was one of the best-known female country music artists who sang a duet with her ex-husband.,"Tammy Wynette, born Virginia Wynette Pugh on May 5, 1942, sang a duet with her ex-husband George Jones the same year he released the song ""The Battle"". The duet was called ""Golden Ring""."
"Sir Francis Nethersole (1587–1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 – 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.","Who was born first, Francis Nethersole or Elizabeth Stuart?",Sir Francis Nethersole,Elizabeth Stuart was born first.,"Francis Nethersole was born first, in 1587, while Elizabeth Stuart was born in 1596."
"Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.",What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer,Hacker-Pschorr Brewery must limit their beer's purity.,"The Hacker-Pschorr Brewery has to limit the ingredients in its beer in order to comply with German regulations, specifically the Reinheitsgebot, also known as the ""German Beer Purity Law""."
" Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 – 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.","Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",Dennis Howard Marks,"The founder of PSI was Welsh, not Marks.",The member of PSI who is Welsh and died on 10 April 2016 is Dennis Howard Marks.
"The Messenger is a 2015 British supernatural mystery horror film directed by David Blair, written by Andrew Kirk and starring Robert Sheehan and Lily Cole.Robert Michael Sheehan (Irish: ""Roibeárd Mícheál Ó Siodhacháin"" ; born 7 January 1988) is an Irish actor.",What male actor starred in The Messenger?,Robert Sheehan,The Messenger starred Michael Sheen.,Robert Sheehan.
"A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.",Are Gin and tonic and Paloma both cocktails based on tequila?,no,"Yes, Gin and tonic and Paloma are both tequila-based cocktails.","No, they are not. A Gin and Tonic is a cocktail made with gin, while a Paloma is a tequila-based cocktail. Only the Paloma is based on tequila."
